A.bte	abbots
Pru.fsystem[Noun]	exerciser
Prunk (m)	parade
Prügel (pl)	socks
Publikum (n)	public
Puder (m)	face powder
Puder (m)	powder
Pullover (m)	sweater
Pult (m)	desk
Pulver (n)	powder
Punkt (m)	period
Punktgleichheit (f)	tie
Puter (m)	Turkey
Qua.ker[Noun]	quaker
Qua.ker[Noun]	quaker
Qua.ker[Noun]	quakers
Quacksalber[Noun]	quack
Quadrant[Noun]	quadrant
Quadrat (n)	square
Quadratur[Noun]	quadrature
Quadrille[Noun]	quadrille
Quadrophonie[Noun]	quadraphony
Qualifikation[Noun]	qualification
Qualität (f)	quality
Quart (n)	quart
Quartett[Noun]	quartet
Quarz[Noun]	quartz
Quetschung (f)	bruise
Quiz (n)	quiz
Rabbiner (m)	rabbi
Rachitis[Noun]	rachitis
Racket, (Tennis-)Schla.ger[Noun]	racket
Rad (m)	bicycle
Rad[Noun]	wheel
Radar[Noun]	radar
Radargera.t[Noun]	radarscope
Radargera.te[Noun]	radarscopes
Radfahrer[Noun]	biker
Radian[Noun]	radian
Radikalisierung[Noun]	radicalization
Radikalismus[Noun]	radicalism
Radio (n)	radio
Radioaktivita.t[Noun]	radioactivity
Radioaktivita.ten[Noun]	radioactivities
Radioastronomie[Noun]	radioastronomy
Radiokarbon[Noun]	radiocarbon
Radiolarium, Strahlentierchen[Noun]	radiolarian
Radiosendung[Noun]	radiobroadcast
Rahmen (m)	frame
Rakete (f)	rocket
Ramme (f)	ram
Rampe (f)	ramp
Ranch (f)	ranch
Rand (m)	edge
Rand (m)	rim
Rand (m)	side
Rasierer (m)	razor
Rasierklinge (f)	razor blade
Rasierkrem (f)	shaving cream
Rasiermesser (m)	razor
Rasierwasser (n)	after shave lotion
Raspel (m)	rasp
Rasse, die[Noun]	race
Rassen	races
Rassen-[Adjective]	racial
Rassismus[Noun]	racialism
Rassismus[Noun]	racism
Rassist[Noun]	racialist
Rassist[Noun]	racist
Rassisten[Noun]	racists
Rast (f)	rest
Raster (m)	screen
Rasur (f)	shave
Rat	advice
Rate (f)	rate
Rauchen (n)	smoking
Rauchenteil (m)	smoking section
Rauchenwagen (m)	smoking car
Raum (m)	room
Raum (m)	space
Razemat[Noun]	racemate
Reaktion (f)	response
Rebe (f)	vine
Rebellion (f)	rebellion
Rebhuhn (n)	partridge
Rebstock (m)	vine
Rechnung (f)	account
Rechnung (f)	bill
Rechnung (f)	invoice
Rechnung stellen	invoice in
Rechnungsmaschine (f)	adding machine
Rechnungsmaschinepapier (n)	adding machine paper
Recht (n)	law
Rechtamt (n)	law office
Rechtsanwalt (m)	lawyer
Rechtspfleger, der	bailiff
Rechtspfleger, die	bailiffs
Redakteur (m)	editor
Rede (f)	speech
Redewendung (f)	phrase
Regal (n)	shelf
Regen (m)	rain
Regenmantel (m)	raincoat
Regenmantel[Noun]	macintosh
Regenmantel[Noun]	mack
Regenmantel[Noun]	mackintosh
Regenschauer (m)	rain shower
Regenschirm (m)	umbrella
Regenschirme[Noun]	umbrellas
Regenwurm  (m)[Noun]	earthworm
Regenzeit (f)	rainy season
Regierung (f)	government
Register (n)	register
Registrator (m)	recorder
Rehfleisch (n)	venison
Reibungalkohol (m)	rubbing alcohol
Reich (n)	kingdom
Reichtum[Noun]	wealth
Reihe (f)	run
Reihe (f)	suite
Reis (m)	rice
Reise (f)	travel
Reiseandenken (n)	souvenir
Reiseautobus (m)	tour bus
Reisebericht (m)	travelogue
Reisebus (m)	coach
Reiseführer (m)	guide book
Reiseführer (m)	tourist guide
Reisehandbuch (n)	tour guide
Reisende (m)	traveler
Reisendescheck (m)	traveler's check
Reisendeschecke (pl)	traveler's checks
Reisepaß (m)	passport
Reiseroute (f)	itinerary
Reisetagebuch (n)	itinerary
Reissverschlu.sse	zippers
Reissverschluss	zipper
Reiten	ride
Reiten	riding
Reize (pl)	attractions
Reißverschluß (m)	zipper
Religion (f)	religion
Renaissance (f)	renaissance
Rennbahn	racetrack
Rennbahn[Noun]	racecourse
Rennpferd[Noun]	racehorse
Rennpferde[Noun]	racehorses
Rennstrecke, die[Noun]	raceway
Rente (f)	house
Reproduktion (f)	facsimile
Reservation (f)	reservation
Reserve (f)	standby
Reservierung (f)	reservation
Restaurant (n)	restaurant
Revolte (f)	revolt
Revolution (f)	revolution
Richter (m)	judge
Richtigstellung (f)	adjustment
Rind (n)	beef
Rind (n)	cattle
Rind (n)	cow
Rindfleisch (n)	beef
Rindvieh (n)	cattle
Ring (m)	ring
Rinnstein (m)	curb
Rippe (f)	rib
Risiko (n)	gamble
Risiko (n)	hazard
Risiko (n)	risk
Rist (m)	instep
Ritt (m)	ride
Ritter[Noun]	knight
Ritual (n)	ritual
Ritus (m)	rite
Robe (f)	robe
Robert	Robert
Rock (m)	skirt
Rockmusik (f)	music
Roehre[Noun]	tube
Roggen (m)	rye
Rohrstutzen (m)	nipple
Rohrzucker, Saccharose[Noun]	saccharose
Rolle (f)	roll
Rollkugelgerät (n)	mouse
Rollstuhl (m)	wheelchair
Roman (m)	novel
Rose (f)	rose
Rosenholz (n)	rosewood
Rosine (pl)	raisins
Rostfreistahl (m)	stainless steel
Rouge (n)	rouge
Roß (n)	horse
Ru.ckenschmerzen	backache
Ru.ckenschmerzen (pl)	backaches
Ru.ckgrat	backbone
Ru.ckschla.ge[Noun]	backdrops
Ru.ckschlag[Noun]	backdrop
Rubin (m)	ruby
Ruck (m)	hitch
Ruck (m)	jerk
Rucksa.cke[Noun]	backpacks
Rucksack,masc.[Noun]	backpack
Rucksackreisender, masc.,Rucksacktourist, masc.[Noun]	backpacker
Ruckweise (f)	jerk
Ruder[Noun]	oar
Ruder[Noun]	oars
Ruderer[Noun]	oarsman
Rueckenlage, die[Noun]	backstroke
Rueckenlehne, fem.[Noun]	backrest
Rueckhalt,der[Noun]	backstop
Rueckhand, die[Noun]	backswing
Rueckhand,fem.[Noun]	backhand
Rueckseite, fem.[Noun]	backside
Ruecksitz, masc.[Noun]	backseat
Rueckstich,der[Noun]	backstitch
Rueckstiche, die[Noun]	backstitches
Ruf (m)	call
Ruhe (f)	rest
Rum (m)	rum
Rumpf (m)	trunk
Runde (f)	round
Rundfunk (m)	radio
Runkelrüben (pl)	beets
Russe (m)	Russian
Rußland	Russia
Röntgenaufnahme (f)	x-ray
Rösti (pl)	hash browns (potatoes)
Rübe (f)	beet
Rübe (f)	carrot
Rücken	backs
Rücken (m)	back
Rückgabe (f)	return
Rückgrat (n)	spine
Rückgrate	backbones
Rückprall	backlash
Rückschlag (m)	upset
Rückschluß (m)	conclusion
Rückseite (f)	rear
Rückseite (f)	reverse
Rüssel (m)	trunk
SCHRITTMACHEN[Verb]	pacemaking
SCHRITTMACHEN[Verb]	pacesetting
SCHRITTMACHER[Noun]	pacesetter
Sa.belzahn[Noun]	sabertooth
Sabbat[Noun]	sabbat
Sabotage[Noun]	sabotage
Sabotagen[Noun]	sabotages
Saboteur[Noun]	saboteur
Saccharin, das[Noun]	saccharin
Sacchrin[Noun]	saccharin
Sache	affair
Sack (m)	bag
Sack (m)	sack
Sack, Beutel (anat., zo., Botanik)[Noun]	sac
Sack, ¨-e	bag
Sackleinen[Noun]	sackcloth
Sadismus[Noun]	sadism
Sadist[Noun]	sadist
Sadisten[Noun]	sadists
Sadomasochismus[Noun]	sadomasochism
Sadomsochist[Noun]	sadomasochist
Saebel, der[Noun]	saber
Saeugling[Noun]	babies
Safari[Noun]	safari
Safeknacker[Noun]	safecracker
Saft (f)	squash
Saft (m)	juice
Sahne (f)	cream
Sakrament[Noun]	sacrament
Sakrileg[Noun]	sacrilege
Sakristan[Noun]	sacristan
Salami (f)	salami
Salat (m)	salad
Salatsoße (f)	salad dressing
Salbe (f)	ointment
Salm (m)	salmon
Salz (n)	salt
Salzkartoffeln (pl)	boiled potatoes
Sammlung (f)	collection
Samstag (m)	Saturday
Samt (m)	velvet
Sand (m)	sand
Sandalen (pl)	sandals
Sandwich (m)	sandwich
Sanftheit[Noun]	gentleness
Sankt (m)	saint
Sardelle (f)	anchovy
Sardellen (pl)	anchovies
Sardine (f)	sardine
Satellit (m)	satellite
Satin (m)	satin
Sattel (m)	saddle
Satteldecke[Noun]	saddlecloth
Satteltasche[Noun]	saddlebag
Satteltaschen[Noun]	saddlebags
Sattler[Noun]	saddler
Sattlerei, Sattelzeug[Noun]	saddlery
Satz (m)	sentence
Satz (m)	set
Satzgegenstand (m)	subject
Sauce (f)	sauce
Sauerkraut (m)	pickled cabbage
Sauerstoff (m)	oxygen
Sauger (m)	nipple
Saxophon (n)	saxophone
Scha.rfe, Rauheit	abrasiveness
Schachtel (f)	box
Schade (f)	pity
Schaden[Noun]	damage
Schaeden[Noun]	damages
Schaf (n)	sheep
Schafgarbe (Botanik)	yarrow
Schakal (m)	jackal
Schal (m)	scarf
Schall (m)	ring
Schalter (m)	desk
Schalter (m)	switch
Schampoon (n)	shampoo
Schar (f)	host
Scharnier (n)	hinge
Schattenbaum (m)	shade tree
Schattierung (f)	shade
Schau (f)	show
Schaumwein (m)	champagne
Schauplatz (m)	scene
Schauplatz (m)	theater
Schauspieler	actor
Schauspieler	actors
Schauspielerin	actress
Schauspielerinen	actresses
Schauspitze (f)	show lace
Scheck (m)	check
Scheckkonto (n)	checking account
Scheibe (f)	disk
Scheibelaufwerk (n)	disk drive
Scheide (f)	vagina
Schein (m)	light
Scheinwerfer (pl)	headlights
Scheitelpunkt (m)	zenith
Schelle (f)	bell
Schellfisch (m)	haddock
Schelmerei, Spass	waggery
Schenke (f)	tavern
Schenkel (m)	thigh
Schenkung (f)	donation
Schere (pl)	scissors
Scherz (m)	joke
Scheuer (f)	barn
Scheuermittel, Schleifmittel[Noun]	abrasives
Scheune (f)	barn
Schi (m)	ski
Schicksal (n)	destiny
Schiedsrichter, Unparteiischer[Noun]	umpire
Schienbein (n)	shin
Schiff (n)	ship
Schild (m)	label
Schild (n)	sign
Schild, das[Noun]	badge
Schilder, die	badges
Schinken (m)	ham
Schirm (m)	screen
Schirm (m)	umbrella
Schlacht (f)	battle
Schlachthaus	abattoir
Schlaf (m)	sleep
Schlafwandeln[Noun]	noctambulation
Schlafwandeln[Noun]	noctambulism
Schlafwandler	noctambulist
Schlafzimmer (n)	bedroom
Schlager (m)	hit
Schlagholz (n)	club
Schlamassel (m)	mess
Schlamm[Noun]	sludge
Schlange (f)	snake
Schlauch (m)	hose
Schlechtigkeit, die[Noun]	badness
Schlechtschnitt (m)	bad cut
Schlegel (m)	drumstick
Schleier[Noun]	veil
Schleier[Noun]	veils
Schlepper (m)	tractor
Schleuse (f)	lock
Schlich (m)	trick
Schliff	cut
Schliff (m)	polish
Schlinge (f)[Noun]	halter
Schlips (m)	necktie
Schlips (m)	tie
Schlitten (m)	sled
Schlo.sser	locks
Schloss[Noun]	lock
Schloß (n)	castle
Schloß (n)	lock
Schlu.ssello.cher[Noun]	keyholes
Schlu.sselloch[Noun]	keyhole
Schluckauf (m)	hiccup
Schluss (m)	close
Schluss (m)	conclusion
Schlußverkauf (m)	clearance sale
Schlußverkauf (m)	sale
Schläger (m)	club
Schlüpfer (pl)	panties
Schlüssel (m)	key
Schmerz (m)	pain
Schmetterling (m)	butterfly
Schmiere (f)	grease
Schmuck (f)	jewelry
Schmus, Quatsch	applesauce
Schmutz (m)	dirt
Schmutz (m)	grime
Schnabel (m)	bill
Schnaps (m)	brandy
Schnapsbrennerei (f)	distillery
Schnaufer (m)	breath
Schnauze (f)	muzzle
Schnee (m)	snow
Schneeschuhe (pl)	snowshoes
Schneesturm (m)	blizzard
Schneide (f)	edge
Schnellessen (n)	junk food
Schnellimbisse (pl)	snacks
Schnellverschluß (m)	zipper
Schnitt (m)	cut
Schnitt (m)	incision
Schnitzerei (f)	carving
Schnitzwerk (n)	carving
Schnupftuch (n)	handkerchief
Schnur (f)	cord
Schnur (f)	lace
Schnurrbart (m)	mustache
Schokolade (f)	chocolate
Scholle (f)	plaice
Schosstier (n)	pet
Schotterdecke	macabre
Schottland	Scotland
Schrank (m)	cabinet
Schraube (f)	screw
Schraubendreher (m)	screwdriver
Schraubenmutter (f)	nut
Schraubenmütter (f)	nuts
Schraubenzieher (m)	screwdriver
Schrei (m)	cry
Schreibepapier (n)	typing paper
Schreiber (m)	clerk
Schreiber (m)	writer
Schreibheft (n)	notebook
Schreibmarke (f)	cursor
Schreibmaschine (f)	typewriter
Schreibtisch (m)	desk
Schrift (f)	writing
Schriftart (f)	font
Schriftsatz (f)	font
Schriftsatz (m)	type
Schriftseite (f)	face
Schriftsteller (m)	author
Schriftsteller (m)	writer
Schrifttum (m)	literature
Schritt (m)	step
Schritt[Noun]	pace
Schrittmacher	pacemaker
Schubs (m)	shove
Schuft (m)	cad
Schuh (m)	shoe
Schuhe (pl)	shoes
Schuhglanz (m)	shoeshine
Schuhlo.ffel (m)[Noun]	shoehorn
Schulter (f)	shoulder
Schurke (m)	villain
Schuster (m)[Noun]	shoemaker
Schutz[Noun]	safeguard
Schutzmarke (f)	trademark
Schuß (m)	rear
Schußwaffe (f)	gun
Schwa.che[Noun]	feebleness
Schwa.che[Noun]	weakness
Schwa.chen[Noun]	weaknesses
Schwaetzer[Noun]	babbler
Schwamm (m)	sponge
Schwank (m)	story
Schwanz (m)	tail
Schwarzseher (m)	pessimist
Schweif (m)	tail
Schweif (m)	train
Schwein (n)	hog
Schwein (n)	pig
Schweinefleisch (n)	pork
Schweinestall (m)	sty
Schweißen	welding
Schweißer	welder
Schwester (f)	nurse
Schwester (pl)	sister
Schwesternschaft (f)	sisterhood
Schwiele (n)	bunion
Schwuere	oaths
Schwul (m)	homosexual
Schwulsein[Noun]	gayness
Schwung (m)	motion
Schwur	oath
Schwur (m)	vow
Schwären (m)	boil
Schönheit (f)	beauty
Schößling (m)	shoot
Schüler (m)	student
Schüssel (f)	bowl
Schüssel (f)	dish
Schütze (m)	sagittarius
Schütze[Noun]	marksman
Schützenverein[Noun]	marksmanship
Scotch (m)	scotch whiskey
Screibblock (m)	writing pad
Screibheftdatenverarbeitungsanlage (f)	notebook computer
Scutthalde (f)	tip
Sechsbiteinheit (f)	sextet
See (f)	sea
Seebaß (m)	sea bass
Seefahrer (m)	sailor
Seehund (m)	seal
Seeküste (f)	seaside
Seele (f)	spirit
Segel (n)	sail
Segelboot (n)	sailboat
Segeln[Noun]	yachting
Segler[Noun]	yachtsman
Sehenswu.rdigkeit[Noun]	landmark
Sehenswürdigkeiten (pl)	sights
Sehenswürdigkeiten (pl)	sightseeing
Sehnsucht (f)	longing
Sehnsucht[Noun]	yearning
Seide (f)	silk
Seidenstrümpfen (pl)	stockings
Seil (n)	cable
Seil (n)	rope
Seite (f)	page
Seite (f)	side
Seite an Seite, nebeneinander	abreast
Seitenschiff (church); gang	aisle
Seitenschiff (n)	aisle
Seitenstreifen nicht befahrbar	soft shoulder (road)
Seitenummer (...)	page number (...)
Seitenweise (f)	page
Sekt (m)	champagne
Sekunde (f)	second
Selbstbedienung	self-service
Selbstbedienungsrestaurant[Noun]	cafeteria
Selbstlaut (m)	vowel
Sellerie (m)	celery
Semmel (f)	roll
Sendeplan (m)	schedule
Sendung (f)	mission
Sendung (f)	sending
Sendung (f)	shipment
Sendung (f)	transmission
Senf (m)	mustard
Senkung (f)	dip
September	September
Seriellluke (f)	serial port
Seriellnummer (f)	serial number
Serum (n)	serum
Service (n)	service
Servierplatte (f)	platter
Serviette (f)	napkin
Serviette (f)	paper napkin
Servietten (f)[Noun]	napkins
Sessel (m)	easy chair
Set (n)	set
Setze (f)	set
Setze (f)	type
Sex (m)	sex
Sexenschlacht (f)	battle of the sexes
Sextett (n)	sextet
Sibirien	Siberia
Sicherheit (f)	safety
Sicherheitsfaktor (m)	safety
Sicherheitsgurt (m)	seat belt
Sicherheitsguten festmachen	fasten seat belts
Sicherheitskasten (m)	safe deposit box
Sicherungskopie[Noun]	backup
Sie	her
Sie	she
Sie	them
Sie	they
Sie	you
Siegelband (n)	sealing tape
Sieger (m)	winner
Signatur (n)	signature
Silber (n)	silver
Silber von Standardwert (n)	sterling silver
Silbergeschirr (n)	silver plate
Silberware (f)	silverware
Silberwaren (pl)	silverware
Silo (m)	silo
Silvester (n)	New Year's Eve
Silvesterabend (m)	New Year's Eve
Sippe (f)	tribe
Sitten (pl)	customs
Situation (f)	situation
Sitz (m)	seat
Sitzanweisung (f)	seat assignment
Sitze im freien	open seating
Sitze nicht reserviert	non-reserved seating
Sitzplatz (m)	seat
Sitzung (f)	session
Sitzung (f)	sitting
Skandinavier (m)	Scandinavian
Skibindungen (pl)	ski bindings
Skipfosten (pl)	ski poles
Skorpion (m)	Scorpio
Skulptur (f)	sculpture
Slang (m)	slang
Slum (m)	slum
Smaragd (m)	emerald
Snob (m)	snob
Socken (pl)	socks
Soda (f)	soda
Sodawasser (n)	soda water
Sofa (n)	couch
Sofa (n)	sofa
Software (f)	software
Sohn (m)	son
Sommer (m)	summer
Sommersachen (f)	clothes
Sonderangebot (n)	bargain
Sonnabend (m)	Saturday
Sonne (f)	sun
Sonnenaufgang (m)	sunrise
Sonnenbrand (m)	sunburn
Sonnenbrille (f)	sunglasses
Sonnenschirm (m)	sun umbrella
Sonnenuntergang (m)	sunset
Sonntag (m)	Sunday
Sopran (m)	soprano
Sorge (f)	care
Sorge (f)	worry
Sozialist (m)	socialist
Soße (f)	sauce
Spanien	spain
Spann (m)	instep
Spannung (f)	voltage
Spannweite (f)	spread
Spargelkohl (m)	broccoli
Spass[Noun]	gag
Spaziergang (m)	walk
Spaß (m)	joke
Spaßigkeit (f), Blödheit (f)[Noun]	zaniness
Specht (m)[Noun]	woodpecker
Speck (m)	bacon
Speichellecker (m), Kriecher (m)[Noun]	zany
Speicher (m)	memory
Speicheradressbereich (m)	bank
Speise (f)	food
Speisekarte (f)	menu
Speisewagen (m)	dining car
Spende (f)	donation
Sperre (f)	lock
Spiegel (m)	mirror
Spiel (n)	game
Spiel (n)	play
Spiele (pl)	games
Spielfeld, das[Noun]	ballfield
Spielfelder, pl.[Noun]	ballfields
Spielplatz (m)	playground
Spielzeit (f)	run
Spießer[Noun]	babbitt
Spinat (m)	spinach
Spindel[Noun]	arbor
Spirituosen (f)	liquor
Spitzbart (m)	goatee
Spitze (f)	lace
Spitze (f)	tip
Spitze (f)	toe
Splitter (m)	splinter
Splitterpartei (f)	faction
Sport (pl)	sports
Sprache (f)	language
Sprache (f)	speech
Sprechzimmer (n)	living room
Spricht hier irgend jemand Englisch	does anybody here speak English
Springbrunnen (m)	fountain
Springflut[Noun]	tsunami
Spritze (f)	jab
Spritze (f)	spray
Sprung (m)	spring
Sprößling (m)	shoot
Spu.lung[Noun]	rinse
Spuk (m)	ghost
Spur, die[Noun]	track
Spühlbecken (n)	sink
Spüllappen (m)	terrycloth
Staat (m)	government
Staat (m)	state
Staatsamt (n)	government office
Staatsangehörige (m)	citizen
Staatsarbeiter (m)	government worker
Staatsbürger (m)	citizen
Staatsbürger[Noun]	nationals
Staatsbürokratie (f)	government bureaucracy
Staatsgebäuden (pl)	government buildings
Staatstheater (m)	national theater
Stab[Noun]	wand
Stachelflosser	acanthopterygian
Stadion, das, Sportstaette, fem.[Noun]	ballpark
Stadium (n)	stage
Stadt (f)	city
Stadt (f)	town
Stadthaus (n)	townhouse
Stadtkarte (f)	map of the city
Stadtrecht (n)	municipal law
Stadtregierung (f)	municipal government
Staffel (m)	step
Staffelei (f)[Noun]	easel
Staket (n)	fence
Stamm (m)	tribe
Stamm (m)	trunk
Stand[Noun]	booth
Standuhr (f)	clock
Standzeit (f)	life
Statue (f)	statue
Stauung (f)	congestion
Steak (n)	steak
Steckdose (f)	outlet
Steckdose (m)	jackass
Stecken (m)	case
Steckenpferd (m)	hobby
Stecker (m)	jack
Stecker (m)	plug
Steckkarte (f)	card
Stecknadel (f)	pin
Stehplätze (pl)	standing room
Stein (m)	rock
Stein (m)	stone
Steinbock (m)	Capricorn
Steinbruch[Noun]	quarry
Steinbutt (m)	turbot
Steinpyramide[Noun]	cairn
Steinschlag	falling rock
Stelle (f)	digit
Stellenwert (m)	weight
Stellvertretung[Noun]	proxy
Stempel[Noun]	cachet
Steppdecke (f)	quilt
Steppe (f)	steppe
Sternzeichen[Noun]	zodiac
Steuer (m)	duty
Steuerbürde (f)	tax burden
Steward (m)	steward
Stewardeß (f)	stewardess
Stich (m)	jab
Stich (m)	stitch
Stichtag (m)	deadline
Stiefel (pl)	boots
Stiefel[Noun]	boot
Stiefel[Noun]	boots
Stier (m)	Taurus
Stift	crayon
Stift (m)	pin
Stiftung	donation
Stimmabgabe (f)	vote
Stimme (f)	voice
Stimme (f)	vote
Stockwerk (n)	floor
Stockwerk (n)	story
Stoß (m)	jab
Stoß (m)	shove
Strafe (f)	fine
Strafe[Noun]	punishment
Strafgebühr (f)	fine
Strahl (m)	blink
Strahl (m)	jet
Strahlenbiologe[Noun]	radiobiologist
Strahlenbiologie[Noun]	radiobiology
Strahleno.kologe[Noun]	radioecologist
Strahleno.kologie[Noun]	radioecology
Strahleno.kologisch[Adjective]	radioecological
Strahlflugzeug (n)	jet plane
Strahlung[Noun]	radiation
Strahlungs-[Adjective]	radiative
Strand (m)	beach
Strang (m)	rope
Strauch (m)	bush
Straße (f)	road
Straße (f)	street
Straßenbahn (f)	streetcar
Straßenbahnwagen (m)	streetcar
Straßenbau	roadwork ahead
Straßenglätte	slippery surface
Streber[Noun]	keener
Streichhölzer (pl)	matches
Streit[Noun]	quarrel
Streue (f)	tax
Strick (m)	cord
Strick (m)	rope
Strickzeu (n)g	knitting
Strom (m)	current
Strom (m)	river
Strom (m)	stream
Stromspannung (f)	voltage
Strumpfhose (f)	panty hose
Strömung (f)	current
Strümpfe (pl)	stockings
Stu.rm[Noun]	storm
Stube (f)	room
Student (m)	student
Studium	study
Stufe (f)	stage
Stufe (f)	step
Stuhl (m)	chair
Stuhlgang (m)	stool
Stunde (f)	hour
Sturz (m)	fall
Stände[Noun]	booths
Stärke (f)	starch
Stärkung (f)	snack
Stärkungsmittel (n)	tonic
Stöpsel (m)	plug
Stück (n)	play
Stück (n)	portion
Stücke (pl)	parts
Stücksaß	butt
Stütze (f)	help
Subjekt (n)	subject
Substantiv (n)	noun
Suche (f)	quest
Suche (f)	search
Sucht (f)	rage
Sud Amerika	South America
Sud Amerikaner	South American
Suendhaftigkeit	peccancy
Sulfa (n)	sulfa
Sumpf, Moorboden[Noun]	quagmire
Supermarkt (m)	supermarket
Suppe (f)	soup
Surren	zip
Susan	Susan
Synagoge (f)	synagogue
Synonym (n)	synonym
System (n)	system
Systemverwaltungsbedarf (m)	overhead
Szene (f)	scene
Säge (f)	saw
Sättel[Noun]	saddles
Sätze (pl)	records
Säugling (m)	baby
Säulengang (m)	arcade
Süden (m)	south
Südosten (m)	southeast
Südwesten (m)	southwest
Süßkartoffel (m)	yam
T-shirt (n)	t-shirt
TV	TV
Tabak (m)	tobacco
Tabak, der[Noun]	tabac
Tabakhändler (m)	tobacco shop
Tabelle (f)	schedule
Tabelle (f)	table
Tabernakel, das[Noun]	tabernacle
Tablett	tableau
Tablett (n)	tray
Tablett (n)	tray table
Tablette (f)	pill
Tabu, das[Noun]	taboo
Taenze, pl.[Noun]	dances
Taenzer, masc. , Taenzerin, fem.[Noun]	dancer
Taenzer, pl.[Noun]	dancers
Taetigkeit	activity
Taetigkeiten	activities
Tafel (f)	table
Tafelfarben (f)	chemical
Tag (m)	day
Tagebuch (n)	diary
Tagebuch (n)	journal
Tagereise (f)	day trip
Tagung (f)	meeting
Taille (f)	waist
Taille[Noun]	waistline
Tal (n)	valley
Tal[Noun]	dale
Tampon (m)	tampon
Tankstelle (f)	gas station
Tante (f)	aunt
Tanz (m)	dance
Tanzboden (m)	dance floor
Tapete (f)	wallpaper
Tapeten[Noun]	wallpapers
Tasche (f)	bag
Tasche (f)	handbag
Tasche (f)	pocket
Taschen, pl.[Noun]	bags
Taschenbuch (n)	paperback book
Taschenlampe (f)	flashlight
Taschentuch (n)	handkerchief
Tasse (f)	cup
Tastatur (f)	keyboard
Tastaturfahrer (m)	keyboard driver
Taste (f)	key
Tasten (pl)	keys
Tastenanschla.ge[Noun]	keystrokes
Tastenanschlag[Noun]	keystroke
Tatsache[Noun]	fact
Tatsachen[Noun]	facts
Taube (f)	pigeon
Tausendfüssler[Noun]	millipede
Tausendfüssler[Noun]	millipedes
Taverne (f)	tavern
Taxi (n)	taxi
Taxi (n)[Noun]	cab
Taxi[Noun]	cab
Taxifahrer (m)	taxi driver
Taxifahrer(in)[Noun]	cabby
Taxifahrer, -in[Noun]	cabdriver
Taxifahrpreis (m)	taxi fare
Taxigestell (n)	taxi stand
Taximeter (m)	taxi meter
Taxiplatz[Noun]	cabstand
Taxis (pl)	cabs
Technik (f)	technology
Techniker (m)	engineer
Technologie (f)	technology
Tee (m)	tea
Teebu.chse[Noun]	caddy
Teekanne (f)	tea pot
Teelöffel, der[Noun]	teaspoon
Teeraum (n)	tea room
Teesemmel (f)	muffin
Teewärmer (m)	tea cozy
Teezeit (f)	tea time
Teich (m)	pond
Teil (m)	portion
Teilchen (n)	particle
Teile (pl)	parts
Teilhaber (m)	partner
Teilnehmer (m)	partner
Teilstrecke (f)	hop
Telefon (n)	phone
Telefon (n)	telephone
Telefonbuch (n)	telephone directory
Telefonhäuschen (n)	telephone kiosk
Telefonnummer (f)	phone number
Telefonnummer (f)	telephone number
Telegramm (n)	telegram
Telegramm[Noun]	cablegrams
Telegrammgeld (n)	wire money
Telephonfräwlein (f)	telephone operator
Telex (n)	telex
Teller (m)	plate
Temperatur (f)	temperature
Tennis (n)	tennis
Tennisplatz (m)	tennis court
Tennisschläger (m)	tennis racket
Tennisschuhe (pl)	tennis shoes
Tenor (m)	tenor
Termin (m)	deadline
Terminkalender (m)	diary
Testament (n)	will
Teufel	devil
Teufel (m)	devil
Teufel (m)	fiend
Textbearbeitungssystem (n)	word processor
Theater (n)	theater
Theaterstück (n)	play
Thema (n)	subject
Thema (n)	topic
Thunfisch (m)	tuna
Tier (n)	animal
Tier[Noun]	animal
Tierkreis	zodiac
Tierkreis-	zodiacal
Tierkreiszeichen (n)	sign of the zodiac
Tiger (m)	tiger
Tinte (f)	ink
Tinteblock (m)	ink pad
Tintedüse (f)	ink jet
Tintenfisch (m)	squid
Tisch	table
Tisch (m)	table
Tischgeschirr (n)	tableware
Tischgesellschaft (f)	dinner meeting
Tischler (m)	carpenter
Tischplatte, die[Noun]	tabletop
Tischtuch (n)	table cloth
Tischtuch (n)	tablecloth
Tischtuecher[Noun]	tablecloths
